"wt_full_W6" "wt_full_W9" "regretsIHaveAFewW6" "euRefExpectationW7" "euRefExpectationW8" "econPersonalRetroW8" "euRefTurnoutRetroW9" "euRefVoteW9" "regretsIHaveAFewW9" "ageGroup" "ns_secW1W2W3W4W5" "ns_sec_analyticW1W2W3W4W5" "gender" "gor" "education"
"245" NA 0.684179448775972 NA NA 9999 2 1 1 0 4 71 30 2 3 9
"246" 0.553031699280715 0.460056228507671 0 72 71 1 1 1 0 5 41 20 2 5 20
"247" NA NA NA NA NA NA NA NA NA 7 50 20 1 8 1
"248" 1.33737501897444 1.31647384527956 0 48 53 3 1 0 0 6 41 20 2 9 11
"249" NA NA NA NA NA NA NA NA NA 6 43 20 1 2 18
"250" 0.931156618545434 0.696965966033774 0 57 NA NA 1 1 0 7 121 60 2 8 9
"251" 0.56144858163544 NA 0 9999 9999 NA NA NA NA 5 71 30 2 6 11
"252" NA NA NA NA NA NA NA NA NA 5 32 12 2 8 18
"253" NA NA NA NA NA NA NA NA NA 6 91 40 2 3 11
"254" 0.229797665502025 NA 0 NA NA NA NA NA NA 7 111 50 1 8 5
"255" NA NA NA NA NA NA NA NA NA 7 81 40 1 2 14
"256" 0.510469363151557 NA NA NA 9999 2 NA NA NA 7 41 20 2 2 13
"257" NA NA NA NA NA NA NA NA NA 7 41 20 1 2 5
"258" 1.22825674524501 0.442047415180742 0 100 NA NA 1 1 0 6 41 20 1 5 18
"259" NA NA NA NA NA NA NA NA NA 5 71 30 2 8 8
"260" 0.61177963400542 0.760631680935795 0 92 91 4 1 1 0 7 42 20 1 10 9
"261" 0.931156618545434 0.696965966033774 0 100 92 3 1 1 0 7 NA NA 2 9 11
"262" 0.603219290755812 NA 0 NA NA NA NA NA NA 7 32 12 1 8 9
"263" 0.79151246353541 0.604190000969245 0 13 6 4 1 0 0 3 NA NA 2 1 16
"264" NA NA NA NA NA NA NA NA NA 6 32 12 1 8 7
"265" 0.098738661201305 0.121948999463952 0 47 42 NA 1 1 0 7 121 60 1 10 11
"266" 0.531613114529398 NA 0 47 45 NA NA NA NA 6 41 20 2 7 16
"267" 0.868840695432388 0.867697467422276 0 26 9999 NA 1 0 0 7 71 30 1 7 1
"268" NA NA NA NA NA NA NA NA NA 7 31 12 1 5 10
"269" 0.769697411019239 0.643130534043194 0 55 50 3 1 0 0 6 50 20 1 8 16
"270" 2.2773496970555 NA 0 42 50 NA NA NA NA 5 41 20 2 1 14
"271" 1.43905163104418 1.09273791989078 0 49 51 NA 1 0 0 7 NA NA 1 2 11
"272" 0.912046597287235 0.743950096026411 0 9999 51 NA 1 1 0 7 31 12 2 8 16
"273" 0.0624943232468234 0.0786829410790393 0 46 50 3 1 0 0 7 41 20 1 7 17
